timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight,date.hijri.holidays
"05:10 (EET)","06:31 (EET)","11:40 (EET)","14:25 (EET)","16:43 (EET)","16:49 (EET)","18:04 (EET)","04:57 (EET)","23:40 (EET)","21:21 (EET)","01:59 (EET)","01 Jan 2022",1641020461,01-01-2022,DD-MM-YYYY,01,Saturday,1,January,2022,AD,"Anno Domini",27-05-1443,DD-MM-YYYY,27,"Al Sabt",السبت,5,"Jumādá al-ūlá","جُمادى الأولى",1443,AH,"Anno Hegirae",31.9565783,35.9456951,Asia/Amman,4,"Umm Al-Qura University, Makkah",18.5,"90 min",21.3890824,39.8579118,ANGLE_BASED,STANDARD,STANDARD,0,3,-6,0,0,6,0,-9,0,
"05:10 (EET)","06:31 (EET)","11:40 (EET)","14:25 (EET)","16:44 (EET)","16:50 (EET)","18:05 (EET)","04:57 (EET)","23:40 (EET)","21:21 (EET)","01:59 (EET)","02 Jan 2022",1641106861,02-01-2022,DD-MM-YYYY,02,Sunday,1,January,2022,AD,"Anno Domini",28-05-1443,DD-MM-YYYY,28,"Al Ahad",الاحد,5,"Jumādá al-ūlá","جُمادى الأولى",1443,AH,"Anno Hegirae",31.9565783,35.9456951,Asia/Amman,4,"Umm Al-Qura University, Makkah",18.5,"90 min",21.3890824,39.8579118,ANGLE_BASED,STANDARD,STANDARD,0,3,-6,0,0,6,0,-9,0,
"05:11 (EET)","06:31 (EET)","11:41 (EET)","14:26 (EET)","16:44 (EET)","16:50 (EET)","18:05 (EET)","04:58 (EET)","23:41 (EET)","21:22 (EET)","02:00 (EET)","03 Jan 2022",1641193261,03-01-2022,DD-MM-YYYY,03,Monday,1,January,2022,AD,"Anno Domini",29-05-1443,DD-MM-YYYY,29,"Al Athnayn",الاثنين,5,"Jumādá al-ūlá","جُمادى الأولى",1443,AH,"Anno Hegirae",31.9565783,35.9456951,Asia/Amman,4,"Umm Al-Qura University, Makkah",18.5,"90 min",21.3890824,39.8579118,ANGLE_BASED,STANDARD,STANDARD,0,3,-6,0,0,6,0,-9,0,
"05:11 (EET)","06:31 (EET)","11:41 (EET)","14:27 (EET)","16:45 (EET)","16:51 (EET)","18:06 (EET)","04:58 (EET)","23:41 (EET)","21:23 (EET)","02:00 (EET)","04 Jan 2022",1641279661,04-01-2022,DD-MM-YYYY,04,Tuesday,1,January,2022,AD,"Anno Domini",30-05-1443,DD-MM-YYYY,30,"Al Thalaata",الثلاثاء,5,"Jumādá al-ūlá","جُمادى الأولى",1443,AH,"Anno Hegirae",31.9565783,35.9456951,Asia/Amman,4,"Umm Al-Qura University, Makkah",18.5,"90 min",21.3890824,39.8579118,ANGLE_BASED,STANDARD,STANDARD,0,3,-6,0,0,6,0,-9,0,
"05:11 (EET)","06:31 (EET)","11:42 (EET)","14:27 (EET)","16:46 (EET)","16:52 (EET)","18:07 (EET)","04:58 (EET)","23:42 (EET)","21:23 (EET)","02:00 (EET)","05 Jan 2022",1641366061,05-01-2022,DD-MM-YYYY,05,Wednesday,1,January,2022,AD,"Anno Domini",01-06-1443,DD-MM-YYYY,01,"Al Arba'a",الاربعاء,6,"Jumādá al-ākhirah","جُمادى الآخرة",1443,AH,"Anno Hegirae",31.9565783,35.9456951,Asia/Amman,4,"Umm Al-Qura University, Makkah",18.5,"90 min",21.3890824,39.8579118,ANGLE_BASED,STANDARD,STANDARD,0,3,-6,0,0,6,0,-9,0,
"05:11 (EET)","06:31 (EET)","11:42 (EET)","14:28 (EET)","16:47 (EET)","16:53 (EET)","18:08 (EET)","04:58 (EET)","23:42 (EET)","21:24 (EET)","02:01 (EET)","06 Jan 2022",1641452461,06-01-2022,DD-MM-YYYY,06,Thursday,1,January,2022,AD,"Anno Domini",02-06-1443,DD-MM-YYYY,02,"Al Khamees",الخميس,6,"Jumādá al-ākhirah","جُمادى الآخرة",1443,AH,"Anno Hegirae",31.9565783,35.9456951,Asia/Amman,4,"Umm Al-Qura University, Makkah",18.5,"90 min",21.3890824,39.8579118,ANGLE_BASED,STANDARD,STANDARD,0,3,-6,0,0,6,0,-9,0,
"05:11 (EET)","06:31 (EET)","11:42 (EET)","14:29 (EET)","16:48 (EET)","16:54 (EET)","18:09 (EET)","04:58 (EET)","23:43 (EET)","21:24 (EET)","02:01 (EET)","07 Jan 2022",1641538861,07-01-2022,DD-MM-YYYY,07,Friday,1,January,2022,AD,"Anno Domini",03-06-1443,DD-MM-YYYY,03,"Al Juma'a",الجمعة,6,"Jumādá al-ākhirah","جُمادى الآخرة",1443,AH,"Anno Hegirae",31.9565783,35.9456951,Asia/Amman,4,"Umm Al-Qura University, Makkah",18.5,"90 min",21.3890824,39.8579118,ANGLE_BASED,STANDARD,STANDARD,0,3,-6,0,0,6,0,-9,0,
"05:12 (EET)","06:32 (EET)","11:43 (EET)","14:29 (EET)","16:48 (EET)","16:54 (EET)","18:09 (EET)","04:59 (EET)","23:43 (EET)","21:25 (EET)","02:01 (EET)","08 Jan 2022",1641625261,08-01-2022,DD-MM-YYYY,08,Saturday,1,January,2022,AD,"Anno Domini",04-06-1443,DD-MM-YYYY,04,"Al Sabt",السبت,6,"Jumādá al-ākhirah","جُمادى الآخرة",1443,AH,"Anno Hegirae",31.9565783,35.9456951,Asia/Amman,4,"Umm Al-Qura University, Makkah",18.5,"90 min",21.3890824,39.8579118,ANGLE_BASED,STANDARD,STANDARD,0,3,-6,0,0,6,0,-9,0,
"05:12 (EET)","06:32 (EET)","11:43 (EET)","14:30 (EET)","16:49 (EET)","16:55 (EET)","18:10 (EET)","04:59 (EET)","23:43 (EET)","21:25 (EET)","02:01 (EET)","09 Jan 2022",1641711661,09-01-2022,DD-MM-YYYY,09,Sunday,1,January,2022,AD,"Anno Domini",05-06-1443,DD-MM-YYYY,05,"Al Ahad",الاحد,6,"Jumādá al-ākhirah","جُمادى الآخرة",1443,AH,"Anno Hegirae",31.9565783,35.9456951,Asia/Amman,4,"Umm Al-Qura University, Makkah",18.5,"90 min",21.3890824,39.8579118,ANGLE_BASED,STANDARD,STANDARD,0,3,-6,0,0,6,0,-9,0,
"05:12 (EET)","06:32 (EET)","11:44 (EET)","14:31 (EET)","16:50 (EET)","16:56 (EET)","18:11 (EET)","04:59 (EET)","23:44 (EET)","21:26 (EET)","02:02 (EET)","10 Jan 2022",1641798061,10-01-2022,DD-MM-YYYY,10,Monday,1,January,2022,AD,"Anno Domini",06-06-1443,DD-MM-YYYY,06,"Al Athnayn",الاثنين,6,"Jumādá al-ākhirah","جُمادى الآخرة",1443,AH,"Anno Hegirae",31.9565783,35.9456951,Asia/Amman,4,"Umm Al-Qura University, Makkah",18.5,"90 min",21.3890824,39.8579118,ANGLE_BASED,STANDARD,STANDARD,0,3,-6,0,0,6,0,-9,0,
